Date_,@ADYEN1,@AMADE28,@ASMIN1,@ASMLH1,@AVEVA1,@BECHT2,@CAPGE1,@DASSA5,@EDENR3,@ERICS13,@HALMA1,@HEXAG2,@INFIN4,@LOGIT6,@NEMET1,@NEXIS3,@NOKIA1,@SAGEG5,@SAPAG5,@STMIC3,@TEMEN1,@WORLD202
2023-01-03,1.013455657492355,1.0121951219512202,1.014166666666666,1.0320968671920057,0.9984568304357015,1.0368691447567249,1.0228625117444408,1.0243366075355524,0.972354813046938,1.01601195302095,1.0210819605835042,1.0160751618143893,1.0301256670683416,1.0220334766565469,1.0196278879574712,1.020348837209303,1.0154749802326892,1.0129583551381034,1.0222312455588278,1.0252013122576795,1.04534971991279,1.0291210259150425
2023-01-04,0.9818042813455665,1.0674796747967494,1.0516666666666656,1.0376705746684607,0.9930582487288865,1.0404956180114862,1.0253679924835575,1.0293212138982548,0.9596260938743044,1.0065790319849648,1.0062664126282341,0.9996966556638549,1.0239283869857103,1.021581483038123,1.025966060110405,1.0034355179704026,1.0137806393312998,1.0072142700259898,1.023652421074003,1.0308678795108877,1.0520925562796362,1.031258348917982
2023-01-05,1.0022935779816524,1.100000000000002,1.0714583333333323,1.0599654045742841,0.9985304230556044,1.0483529767301312,1.0375822110867527,1.02873478962029,0.9701670644391411,1.010213581194557,1.015078128595407,1.0033063540325065,1.0485453606472697,1.0504297334773554,1.0280106317726412,1.02431289640592,1.0137806393312998,1.0321534186869712,1.038879301593747,1.0571130331046859,1.0605812383415392,1.0358001602992284
2023-01-06,1.0022935779816524,1.100000000000002,1.0714583333333323,1.0599654045742841,0.9985304230556044,1.0483529767301312,1.0375822110867527,1.02873478962029,0.9701670644391411,1.010213581194557,1.015078128595407,1.0033063540325065,1.0485453606472697,1.0504297334773554,1.0280106317726412,1.02431289640592,1.0137806393312998,1.0321534186869712,1.038879301593747,1.0571130331046859,1.0605812383415392,1.0358001602992284
2023-01-07,1.0022935779816524,1.100000000000002,1.0714583333333323,1.0599654045742841,0.9985304230556044,1.0483529767301312,1.0375822110867527,1.02873478962029,0.9701670644391411,1.010213581194557,1.015078128595407,1.0033063540325065,1.0485453606472697,1.0504297334773554,1.0280106317726412,1.02431289640592,1.0137806393312998,1.0321534186869712,1.038879301593747,1.0571130331046859,1.0605812383415392,1.0358001602992284
2023-01-08,1.034403669724771,1.1004065040650421,1.1335416666666653,1.1274264847203537,0.9974635758080657,1.0834088848594714,1.044785468211713,1.025802668230463,0.9709626093874312,1.0239036990762331,1.0238238836197415,1.0395690105572346,1.0733344809777912,1.0596712102063541,1.0541811490492718,1.03884778012685,1.0411160058737157,1.0436637090719394,1.06141508476297,1.1116910229645136,1.0737330745125293,1.0512957520705362
2023-01-09,1.0244648318042813,1.1089430894308967,1.1433333333333326,1.1199308091485685,0.9950883676973717,1.0607434270172251,1.0247416222987784,1.0083565459610022,0.9608194112967385,1.0061948029796062,1.0248183109056948,1.032860379125707,1.061112067481493,1.0465736068145508,1.0406869760785085,1.0354122621564483,1.0295944877442684,1.040910763026214,1.0626332352045516,1.1070682970474242,1.0532374932541813,1.0718674859738242
2023-01-10,0.9934250764525989,1.1077235772357747,1.1574999999999989,1.1391504901018632,0.9915396475333735,1.0655787246902397,1.024428437206389,1.0253628500219902,0.9655926809864763,0.9979564916486566,1.0415256384783012,1.0484273611329087,1.0647271475296944,1.057782618800471,1.0836229809854785,1.0710887949260042,1.0391957528521423,1.04375249959516,1.0825296924170182,1.1140769460184945,1.072659410506016,1.0825541009885185
2023-01-11,1.0039755351681952,1.1394308943089457,1.174999999999998,1.1520276763405715,0.9888422400283788,1.073133877304319,1.058252427184465,1.0246298196745334,0.9735481304693719,1.0542307354086429,1.0258629347289439,1.0523751893978237,1.0805646410741945,0.8769493845952572,1.0860764669801657,1.0832452431289636,1.0473285891788107,1.0368481637306701,1.0835448177850011,1.1166119892633524,1.056809169435356,1.1098049692759882
2023-01-12,1.0402140672782854,1.1617886178861823,1.2158333333333309,1.162214107245818,0.9915811143254528,1.1217890601390155,1.0704666457876604,1.0436886087083996,0.9769291964996029,1.0115698594616647,1.0379851566214675,1.0637703992868641,1.0946806679290741,0.8533029340043256,1.1151093845839282,1.1051797040169133,1.0503784028013103,1.0494724582578125,1.0926809460968474,1.128988965105882,1.0571594917573923,1.1127437884050286
